id,city,state,zipcode,property_type,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,review_scores_rating,cancellation_policy
19787532,Asheville,NC,28801,Apartment,1,1,2,Real Bed,$45.00 ,2,$0.00 ,98,strict_14_with_grace_period
19790687,Asheville,NC,28803,Guest suite,1,1,1,Real Bed,$25.00 ,1,$0.00 ,98,moderate
19809125,Asheville,NC,28805,Guest suite,1,1,2,Real Bed,$35.00 ,2,$20.00 ,97,moderate
19811549,Asheville,NC,28806,House,3.5,5,7,Real Bed,$175.00 ,6,$35.00 ,97,strict_14_with_grace_period
19824923,Asheville,NC,28806,House,1,1,1,Real Bed,$17.00 ,2,$25.00 ,98,flexible
19843441,Asheville,NC,28801,Townhouse,1,1,1,Real Bed,$20.00 ,1,$0.00 ,97,flexible
19844151,Arden,NC,28704,House,1.5,3,4,Real Bed,$91.00 ,8,$0.00 ,80,strict_14_with_grace_period
19858349,Asheville,NC,28801,Guest suite,1,0,2,Real Bed,$35.00 ,1,$0.00 ,100,strict_14_with_grace_period
19864005,Asheville,NC,28806,House,2,3,5,Real Bed,$85.00 ,1,$0.00 ,96,flexible
19870831,Asheville,NC,28805,House,1,1,1,Real Bed,$20.00 ,2,$0.00 ,100,moderate
19874293,Asheville,NC,28801,Apartment,1,2,4,Real Bed,$50.00 ,2,$35.00 ,99,moderate
19908244,Asheville,NC,28801,Guest suite,1,1,1,Real Bed,$20.00 ,1,$0.00 ,97,moderate
19912932,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$20.00 ,1,$0.00 ,99,moderate
19921886,Asheville,NC,28806,Bungalow,1.5,1,1,Real Bed,$45.00 ,2,$40.00 ,99,strict_14_with_grace_period
19922723,Asheville,NC,28806,Cottage,1,1,1,Real Bed,$25.00 ,1,$0.00 ,98,flexible
19952563,Arden,NC,28704,Apartment,1,1,1,Real Bed,$0.00 ,2,$0.00 ,100,flexible
19959386,Asheville,NC,28806,Apartment,1,1,4,Real Bed,$0.00 ,7,$0.00 ,99,moderate
19965982,Asheville,NC,28806,House,1,0,1,Real Bed,$10.00 ,2,$10.00 ,99,moderate
19970767,Asheville,NC,28806,House,1,2,2,Real Bed,$70.00 ,6,$0.00 ,99,moderate
19982717,Asheville,NC,28804,House,3.5,6,9,Real Bed,$295.00 ,10,$30.00 ,97,strict_14_with_grace_period
19992336,Asheville,NC,28803,Farm stay,1,1,1,Real Bed,$20.00 ,1,$0.00 ,100,moderate
20008452,Asheville,NC,28806,Guesthouse,1,0,2,Real Bed,$55.00 ,2,$10.00 ,97,strict_14_with_grace_period
20014085,Asheville,NC,28806,House,1,2,2,Real Bed,$25.00 ,2,$15.00 ,93,moderate
20016326,Asheville,NC,28805,House,2,2,3,Real Bed,$100.00 ,5,$0.00 ,100,moderate
20036903,Asheville,NC,28806,House,1,1,2,Real Bed,$50.00 ,4,$25.00 ,99,moderate
20069569,Asheville,NC,28805,Guest suite,1,1,2,Real Bed,$0.00 ,4,$0.00 ,100,moderate
20070593,Arden,NC,28704,House,1,2,2,Real Bed,$113.00 ,5,$0.00 ,100,strict_14_with_grace_period
20074883,Asheville,NC,28804,Guest suite,1,2,2,Real Bed,$75.00 ,2,$35.00 ,96,moderate
20076292,Asheville,NC,28806,House,2,2,1,Real Bed,$20.00 ,1,$0.00 ,97,flexible
20083761,Asheville,NC,28806,House,1,1,1,Real Bed,$15.00 ,1,$12.00 ,100,moderate
20089787,Asheville,NC,28801,Apartment,1,0,1,Real Bed,$40.00 ,1,$0.00 ,86,strict_14_with_grace_period
20091731,Asheville,NC,28804,Cottage,2,2,3,Real Bed,$80.00 ,1,$0.00 ,99,moderate
20093880,Asheville,NC,28806,House,1,1,1,Real Bed,$0.00 ,2,$10.00 ,90,moderate
20094237,Asheville,NC,28806,House,1,1,1,Real Bed,,1,$0.00 ,90,moderate
20121078,Asheville,NC,28801,Guest suite,2,2,2,Real Bed,$59.00 ,1,$30.00 ,97,strict_14_with_grace_period
20131746,Asheville,NC,28803,House,1,2,3,Real Bed,$30.00 ,2,$20.00 ,98,moderate
20146236,Asheville,NC,28806,House,2,3,3,Real Bed,$70.00 ,6,$50.00 ,96,strict_14_with_grace_period
20153545,Asheville,NC,28806,Guest suite,1,1,2,Real Bed,$25.00 ,2,$10.00 ,97,moderate
20153704,Asheville,NC,28804,Guest suite,1,1,1,Real Bed,$25.00 ,1,$0.00 ,100,flexible
20154151,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$20.00 ,2,$0.00 ,97,moderate
20170751,Asheville,NC,28804,House,1.5,1,1,Real Bed,$15.00 ,1,$0.00 ,100,flexible
20174263,Arden,NC,28704,Cabin,2,3,4,Real Bed,$75.00 ,2,$25.00 ,97,strict_14_with_grace_period
20174635,Asheville,NC,28805,Cabin,1,0,2,Real Bed,$0.00 ,1,$0.00 ,99,moderate
20191252,Asheville,NC,28804,House,1.5,1,1,Real Bed,$15.00 ,1,$0.00 ,100,flexible
20192369,Asheville,NC,28804,Guest suite,1,2,2,Real Bed,$35.00 ,1,$0.00 ,98,moderate
20206450,Asheville,NC,28804,House,1.5,2,0,Real Bed,$25.00 ,1,$0.00 ,100,flexible
20208429,Asheville,NC,28801,Bungalow,1,2,2,Real Bed,$45.00 ,2,$15.00 ,98,moderate
20234839,Asheville,NC,28803,House,1,1,1,Real Bed,$12.00 ,1,$0.00 ,98,flexible
20241154,Asheville,NC,28803,House,2,2,2,Real Bed,$65.00 ,1,$0.00 ,100,moderate
20255923,Asheville,NC,28806,Guesthouse,1.5,2,3,Real Bed,$25.00 ,4,$10.00 ,,flexible
20263791,Asheville,NC,28806,House,2,3,3,Real Bed,$75.00 ,6,$25.00 ,100,moderate
20268605,Asheville,NC,28805,Cottage,1,0,0,Real Bed,$30.00 ,2,$35.00 ,99,moderate
20281303,Asheville,NC,28806,House,1,2,2,Real Bed,$25.00 ,3,$25.00 ,95,flexible
20286724,Asheville,NC,28803,House,3,4,7,Real Bed,$75.00 ,1,$0.00 ,,strict_14_with_grace_period
20294011,Woodfin,NC,28804,House,1,1,2,Real Bed,$60.00 ,2,$0.00 ,100,flexible
20309680,Asheville,NC,28801,Guest suite,1,0,2,Real Bed,,2,$15.00 ,97,moderate
20319362,Asheville,NC,28806,House,2.5,2,2,Real Bed,$75.00 ,4,$20.00 ,100,strict_14_with_grace_period
20327457,Asheville,NC,28804,House,1,1,1,Real Bed,$25.00 ,1,$20.00 ,96,moderate
20328686,Asheville,NC,28804,House,2.5,4,5,Real Bed,$90.00 ,1,$0.00 ,100,strict_14_with_grace_period
20355406,Asheville,NC,,Guesthouse,1,1,2,Real Bed,$45.00 ,1,$0.00 ,100,moderate
20375539,Asheville,NC,28806,Apartment,1,1,1,Real Bed,$50.00 ,1,$0.00 ,99,moderate
20389695,Asheville,NC,28801,Apartment,1,2,1,Real Bed,$60.00 ,2,$15.00 ,96,strict_14_with_grace_period
20395878,Asheville,NC,28803,House,1,1,3,Real Bed,,1,$0.00 ,100,flexible
20408452,Asheville,NC,28804,Guest suite,1,1,3,Real Bed,$0.00 ,2,$10.00 ,100,strict_14_with_grace_period
20423335,Asheville,NC,28806,Apartment,1,2,5,Real Bed,$50.00 ,2,$25.00 ,90,moderate
20435375,Asheville,NC,28803,Apartment,1,2,4,Real Bed,$60.00 ,2,$10.00 ,96,moderate
20439998,Asheville,NC,28801,Apartment,1,1,2,Real Bed,$100.00 ,2,$0.00 ,100,flexible
20441967,Asheville,NC,28806,House,2,3,3,Real Bed,$120.00 ,6,$25.00 ,98,strict_14_with_grace_period
20447857,Asheville,NC,28801,House,1,1,1,Real Bed,$25.00 ,2,$95.00 ,100,moderate
20454654,Asheville,NC,28801,Guesthouse,1,1,1,Real Bed,$39.00 ,1,$0.00 ,98,moderate
20456656,Asheville,NC,28803,Apartment,1,1,1,Real Bed,$20.00 ,1,$0.00 ,100,flexible
20462071,Asheville,NC,28805,Cabin,1,2,3,Real Bed,$60.00 ,2,$20.00 ,99,moderate
20465164,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$75.00 ,2,$25.00 ,100,strict_14_with_grace_period
20465557,Asheville,NC,28803,Condominium,1,1,2,Real Bed,$12.00 ,2,$20.00 ,99,flexible
20473937,Asheville,NC,28801,House,3,2,0,Real Bed,$50.00 ,1,$0.00 ,98,moderate
20479622,Asheville,NC,28803,House,2,2,2,Real Bed,$30.00 ,1,$0.00 ,100,moderate
20482319,Asheville,NC,28806,Condominium,1,1,2,Real Bed,$30.00 ,2,$10.00 ,95,moderate
20489357,Asheville,NC,28806,Cottage,1,1,1,Real Bed,$69.00 ,1,$0.00 ,100,moderate
20504787,Asheville,NC,28803,Guesthouse,1,1,1,Real Bed,$20.00 ,2,$15.00 ,99,moderate
20515199,Asheville,NC,28806,Guest suite,1,0,1,Real Bed,$30.00 ,1,$0.00 ,99,moderate
20517072,Asheville,NC,28804,House,1,1,1,Real Bed,$10.00 ,2,$35.00 ,97,flexible
20520600,Asheville,NC,28804,Guest suite,1,1,1,Real Bed,$30.00 ,1,$0.00 ,100,moderate
20527549,Asheville,NC,28803,Guest suite,1,2,2,Real Bed,$55.00 ,2,$25.00 ,99,moderate
20565836,Asheville,NC,28803,House,4,6,6,Real Bed,$425.00 ,14,$0.00 ,95,super_strict_60
20570236,Asheville,NC,28805,House,1,1,3,Real Bed,$30.00 ,4,$15.00 ,100,moderate
20570767,Asheville,NC,28803,Apartment,1,2,2,Real Bed,$0.00 ,2,$10.00 ,93,strict_14_with_grace_period
20572681,Asheville,NC,28806,Cottage,1,2,2,Real Bed,$60.00 ,2,$15.00 ,99,moderate
20583406,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$50.00 ,1,$0.00 ,98,moderate
20604517,Asheville,NC,28806,Guest suite,2,2,3,Real Bed,$70.00 ,4,$25.00 ,98,moderate
20621957,Asheville,NC,28803,Bungalow,1,1,1,Real Bed,$65.00 ,2,$25.00 ,95,moderate
20623672,Asheville,NC,28804,Guest suite,1,2,4,Real Bed,$125.00 ,6,$40.00 ,97,strict_14_with_grace_period
20624327,Asheville,NC,28805,Guest suite,1,1,2,Real Bed,$45.00 ,2,$10.00 ,97,moderate
20624404,Candler,NC,28715,House,1,1,1,Real Bed,$35.00 ,2,$58.00 ,99,strict_14_with_grace_period
20638135,Asheville,NC,28804,House,2,2,2,Real Bed,$142.00 ,6,$0.00 ,,strict_14_with_grace_period
20638269,Asheville,NC,28803,House,2,1,1,Real Bed,$56.00 ,2,$0.00 ,,strict_14_with_grace_period
20638399,Asheville,NC,28805,House,1,1,1,Real Bed,$120.00 ,2,$0.00 ,,strict_14_with_grace_period
20638444,Asheville,NC,28805,House,3,4,6,Real Bed,$275.00 ,8,$30.00 ,93,strict_14_with_grace_period
20653416,Asheville,NC,28806,House,2.5,3,4,Real Bed,$170.00 ,9,$0.00 ,100,strict_14_with_grace_period
20663042,Asheville,NC,28803,Guest suite,1,1,1,Real Bed,$20.00 ,1,$0.00 ,98,strict_14_with_grace_period
20665144,Asheville,NC,28804,House,2,3,5,Real Bed,$120.00 ,8,$20.00 ,99,moderate
20692815,Asheville,NC,28806,Guest suite,1,1,2,Real Bed,$30.00 ,2,$10.00 ,97,moderate
20694871,Asheville,NC,28803,House,1,1,1,Real Bed,$15.00 ,1,$0.00 ,100,flexible
20695367,Asheville,NC,28806,Guest suite,1,2,2,Real Bed,$50.00 ,4,$20.00 ,100,flexible
20697183,Asheville,NC,28806,Apartment,1,0,2,Real Bed,,1,$0.00 ,98,flexible
20697346,Asheville,NC,28801,Bungalow,1,2,2,Real Bed,$50.00 ,1,$0.00 ,94,strict_14_with_grace_period
20701115,Asheville,NC,28806,Cottage,1,1,2,Real Bed,$69.00 ,1,$0.00 ,100,moderate
20728814,Arden,NC,28704,Apartment,1,1,1,Real Bed,$49.00 ,2,$40.00 ,98,moderate
20741217,Asheville,NC,28803,House,1,1,1,Real Bed,$15.00 ,2,$5.00 ,98,flexible
20744040,Asheville,NC,28804,Guest suite,1,1,1,Real Bed,$40.00 ,2,$25.00 ,99,moderate
20744323,Asheville,NC,28803,House,2.5,3,6,Real Bed,$150.00 ,1,$0.00 ,99,strict_14_with_grace_period
20747532,Candler,NC,28715,Apartment,1,1,3,Real Bed,$50.00 ,1,$0.00 ,98,moderate
20759062,Asheville,NC,28804,Guest suite,1,1,1,Real Bed,$50.00 ,2,$25.00 ,99,moderate
20760789,Asheville,NC,28804,House,3,4,4,Real Bed,$120.00 ,1,$0.00 ,100,strict_14_with_grace_period
20762155,Asheville,NC,28801,Guest suite,1,1,2,Real Bed,$40.00 ,1,$0.00 ,99,moderate
20774579,Asheville,NC,28806,Guest suite,1,1,2,Real Bed,$50.00 ,2,$10.00 ,96,moderate
20779200,Asheville,NC,28803,Cottage,1,2,2,Real Bed,$25.00 ,2,$0.00 ,98,moderate
20782822,Asheville,NC,28801,Guest suite,1,1,1,Real Bed,$30.00 ,2,$10.00 ,,moderate
20785720,Asheville,NC,28804,Guesthouse,1,0,1,Real Bed,$50.00 ,2,$20.00 ,100,moderate
20799054,Asheville,NC,28806,Cottage,1,1,1,Real Bed,$50.00 ,1,$0.00 ,99,strict_14_with_grace_period
20800180,Asheville,NC,28805,Apartment,1,1,2,Real Bed,$50.00 ,2,$25.00 ,98,moderate
20801691,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$30.00 ,1,$0.00 ,99,moderate
20801888,Asheville,NC,28804,Apartment,1,1,1,Real Bed,$5.00 ,1,$0.00 ,86,flexible
20804014,Asheville,NC,28801,Bungalow,1,2,2,Real Bed,$155.00 ,2,$10.00 ,99,moderate
20804217,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$45.00 ,1,$0.00 ,99,moderate
20804347,Asheville,NC,28806,Apartment,1,0,2,Real Bed,$30.00 ,2,$20.00 ,96,moderate
20812644,Asheville,NC,28801,House,1,1,1,Real Bed,$6.00 ,1,$0.00 ,98,moderate
20815440,Asheville,NC,28801,Guest suite,1,0,2,Real Bed,$30.00 ,2,$10.00 ,99,moderate
20830817,Lake Wylie,Sc,29710,House,1,1,1,Real Bed,,2,$35.00 ,,flexible
20830901,Asheville,NC,28806,Bungalow,1,1,2,Real Bed,$55.00 ,2,$15.00 ,84,strict_14_with_grace_period
20831859,Asheville,NC,28804,House,1.5,1,1,Real Bed,$25.00 ,1,$0.00 ,100,flexible
20834615,Asheville,NC,28801,Guest suite,1,1,1,Real Bed,$50.00 ,1,$0.00 ,98,moderate
20842462,Asheville,NC,28804,Guest suite,1,1,2,Real Bed,$50.00 ,4,$100.00 ,98,flexible
20850669,Asheville,NC,28803,Apartment,1,1,2,Real Bed,$50.00 ,2,$15.00 ,100,moderate
20855873,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$40.00 ,1,$0.00 ,86,strict_14_with_grace_period
